customer_id,first_name,last_name,email,plan,mrr_eur,country,industry,signup_date,last_login_date,days_since_last_login,actions_last_7d,features_used_count,invites_sent,nps_score,support_tickets_30d
CUST-0057,Gabriel,Moreau,gabriel.moreau71@gmail.com,starter,49,Italy,E-commerce,2025-07-08,2026-04-28,1,4,3,0,4,1
CUST-0058,Antoine,Andre,antoine.andre61@company.io,free,0,Switzerland,Consulting,2025-12-29,2026-04-10,19,5,2,0,7,3
CUST-0059,Gabriel,Andre,gabriel.andre35@gmail.com,starter,49,Belgium,Healthcare,2025-12-10,2026-04-09,20,7,2,0,8,4
CUST-0060,Sophie,Dupont,sophie.dupont42@company.io,starter,49,UK,Marketing,2025-11-27,2026-04-24,5,38,8,0,,1
CUST-0061,Beatrice,Rousseau,beatrice.rousseau17@work.com,starter,49,Germany,Retail,2025-06-07,2026-04-23,6,27,2,0,0,0
CUST-0062,Quentin,Andre,quentin.andre44@pro.fr,starter,49,Germany,Education,2025-12-02,2026-04-27,2,7,7,0,4,4
CUST-0063,Marc,Simon,marc.simon56@gmail.com,starter,49,Germany,Retail,2024-12-15,2026-04-20,9,4,4,0,1,1
CUST-0064,William,Laurent,william.laurent68@pro.fr,enterprise,499,Spain,Consulting,2026-03-12,2026-04-16,13,6,6,0,,1
CUST-0065,Clara,Girard,clara.girard33@gmail.com,pro,149,Switzerland,Healthcare,2024-08-02,2026-04-27,2,17,7,5,,4
CUST-0066,François,Thomas,françois.thomas50@pro.fr,starter,49,Germany,Finance,2025-05-10,2026-04-15,14,5,3,0,3,3
CUST-0067,Sophie,Michel,sophie.michel96@gmail.com,starter,49,Switzerland,Healthcare,2024-05-12,2026-04-23,6,20,0,0,10,1
CUST-0068,Thomas,Vincent,thomas.vincent83@gmail.com,starter,49,Belgium,Retail,2024-07-16,2026-03-08,52,2,1,0,10,0
CUST-0069,Sophie,Michel,sophie.michel68@work.com,pro,149,Spain,Healthcare,2026-01-26,2026-04-23,6,14,3,1,5,3
CUST-0070,Zoé,Laurent,zoé.laurent72@work.com,pro,149,Germany,Marketing,2025-05-17,2026-04-28,1,12,3,5,6,0
CUST-0071,Isabelle,Morel,isabelle.morel4@work.com,free,0,UK,E-commerce,2025-04-16,2026-04-23,6,26,1,0,7,3
CUST-0072,Damien,Lambert,damien.lambert13@company.io,starter,49,Spain,Marketing,2025-03-06,2026-04-04,25,0,2,0,1,3
CUST-0073,Laura,Dupont,laura.dupont5@work.com,enterprise,499,UK,Retail,2024-05-15,2026-04-27,2,29,1,3,4,3
CUST-0074,Hugo,Lefevre,hugo.lefevre16@pro.fr,starter,49,Germany,Finance,2024-05-26,2026-04-24,5,6,6,0,,4
CUST-0075,Alice,Bernard,alice.bernard43@company.io,pro,149,France,Healthcare,2025-08-22,2026-04-26,3,7,8,1,3,1
CUST-0076,Emma,Morel,emma.morel31@work.com,free,0,France,Consulting,2025-11-01,2026-04-06,23,0,0,0,,2
CUST-0077,Bob,Robert,bob.robert76@gmail.com,pro,149,Switzerland,Finance,2024-11-06,2026-04-01,28,1,3,0,8,4
CUST-0078,Bob,Fontaine,bob.fontaine63@pro.fr,pro,149,Germany,E-commerce,2024-06-23,2026-04-29,0,6,7,3,1,2
CUST-0079,Thomas,Robert,thomas.robert65@pro.fr,free,0,Germany,E-commerce,2025-07-21,2026-04-24,5,27,8,0,,4
CUST-0080,Xavier,Lefevre,xavier.lefevre55@work.com,free,0,Belgium,Education,2025-01-21,2026-04-22,7,28,6,0,5,1
CUST-0081,Valeria,Andre,valeria.andre72@work.com,starter,49,Germany,Marketing,2026-01-25,2026-04-20,9,6,2,0,9,2
CUST-0082,Beatrice,Dupont,beatrice.dupont20@pro.fr,enterprise,499,UK,E-commerce,2025-02-19,2026-04-25,4,22,5,0,3,2
CUST-0083,Beatrice,Morel,beatrice.morel90@work.com,starter,49,Netherlands,Education,2025-07-17,2026-04-29,0,20,0,0,,0
CUST-0084,François,Lefevre,françois.lefevre49@pro.fr,free,0,Switzerland,Education,2024-06-24,2026-04-11,18,1,0,0,3,1
CUST-0085,Laura,Laurent,laura.laurent57@pro.fr,pro,149,Switzerland,Retail,2024-09-24,2026-04-27,2,13,0,5,,3
CUST-0086,Isabelle,Durand,isabelle.durand51@gmail.com,pro,149,France,Finance,2026-01-02,2026-04-11,18,8,2,0,,2
CUST-0087,Gabriel,Rousseau,gabriel.rousseau69@company.io,free,0,Netherlands,E-commerce,2025-08-10,2026-04-14,15,7,1,0,,3
CUST-0088,Beatrice,Fontaine,beatrice.fontaine38@gmail.com,free,0,Italy,SaaS,2026-04-09,2026-04-16,13,7,6,0,6,2
CUST-0089,François,Vincent,françois.vincent68@gmail.com,enterprise,499,Italy,Healthcare,2025-01-12,2026-04-28,1,30,1,1,6,2
CUST-0090,Hugo,Simon,hugo.simon83@company.io,pro,149,UK,E-commerce,2026-02-09,2026-04-13,16,4,2,0,,1
CUST-0091,Isabelle,Durand,isabelle.durand58@work.com,free,0,Netherlands,Consulting,2025-11-23,2026-04-27,2,34,7,0,9,3
CUST-0092,Clara,David,clara.david58@gmail.com,starter,49,France,Education,2025-06-22,2026-04-24,5,35,1,0,,2
CUST-0093,Clara,Bonnet,clara.bonnet58@company.io,pro,149,Netherlands,Retail,2026-01-26,2026-04-22,7,40,8,0,0,4
CUST-0094,Emma,Bernard,emma.bernard57@pro.fr,starter,49,Spain,Education,2025-05-12,2026-04-11,18,3,0,0,,2
CUST-0095,Damien,Laurent,damien.laurent72@pro.fr,starter,49,Belgium,Healthcare,2025-05-17,2026-04-11,18,6,0,0,,4
CUST-0096,Beatrice,Robert,beatrice.robert40@pro.fr,starter,49,Netherlands,Consulting,2024-09-09,2026-04-25,4,28,2,0,1,4
CUST-0097,Clara,Bonnet,clara.bonnet18@company.io,pro,149,Germany,Healthcare,2024-11-24,2026-04-27,2,16,5,3,,0
CUST-0098,Quentin,Rousseau,quentin.rousseau21@company.io,starter,49,Spain,Retail,2024-11-05,2026-02-25,63,2,1,0,2,0
CUST-0099,Nina,Michel,nina.michel61@company.io,pro,149,Netherlands,Retail,2025-08-28,2026-04-22,7,17,8,0,,3
CUST-0100,Yasmine,Laurent,yasmine.laurent71@gmail.com,pro,149,Germany,Healthcare,2024-11-30,2026-04-26,3,11,4,0,5,0
CUST-0101,Yasmine,Richard,yasmine.richard4@pro.fr,free,0,France,Marketing,2024-11-19,2026-02-13,75,0,1,0,5,4
CUST-0102,Laura,Dubois,laura.dubois37@pro.fr,starter,49,Spain,Retail,2026-02-04,2026-04-20,9,6,2,0,,3
CUST-0103,Thomas,Martin,thomas.martin7@company.io,enterprise,499,Italy,Retail,2026-04-09,2026-04-23,6,10,4,1,,0
CUST-0104,David,Muller,david.muller46@company.io,enterprise,499,Italy,Consulting,2024-08-25,2026-04-26,3,12,4,3,,0
CUST-0105,Quentin,Michel,quentin.michel50@work.com,free,0,Belgium,SaaS,2024-11-06,2026-04-29,0,27,7,0,,2
CUST-0106,Zoé,Thomas,zoé.thomas44@company.io,starter,49,Switzerland,Retail,2024-06-25,2026-04-24,5,11,0,0,,1
CUST-0107,Zoé,Robert,zoé.robert40@pro.fr,free,0,Switzerland,Healthcare,2025-01-15,2026-03-15,45,0,1,0,5,0
CUST-0108,Yasmine,Bonnet,yasmine.bonnet48@pro.fr,free,0,Italy,Retail,2025-04-28,2026-04-11,18,6,2,0,,3
CUST-0109,Karim,Richard,karim.richard78@company.io,starter,49,Belgium,Education,2024-12-05,2026-04-25,4,8,6,0,,0
CUST-0110,Clara,Simon,clara.simon46@pro.fr,pro,149,Belgium,SaaS,2025-06-19,2026-04-27,2,31,5,3,,0
CUST-0111,Valeria,Bonnet,valeria.bonnet9@company.io,starter,49,Netherlands,Education,2024-11-19,2026-04-29,0,12,7,0,,3
CUST-0112,Sophie,Bernard,sophie.bernard41@work.com,starter,49,UK,E-commerce,2024-06-02,2026-04-22,7,7,2,0,6,0
CUST-0113,Xavier,Richard,xavier.richard79@work.com,starter,49,Switzerland,Finance,2025-03-28,2026-04-09,20,5,3,0,,0
CUST-0114,Emma,Lefevre,emma.lefevre70@work.com,free,0,Belgium,Consulting,2025-11-03,2026-04-28,1,23,5,0,8,1
CUST-0115,Zoé,Michel,zoé.michel74@work.com,starter,49,Switzerland,Consulting,2025-12-25,2026-04-26,3,34,0,0,,4
CUST-0116,Céline,Thomas,céline.thomas41@gmail.com,free,0,Switzerland,Retail,2025-03-17,2026-04-23,6,29,1,0,,4
CUST-0117,Laura,Robert,laura.robert16@company.io,pro,149,Belgium,Consulting,2024-10-11,2026-04-19,10,7,8,0,0,1
CUST-0118,Karim,Andre,karim.andre36@company.io,pro,149,Belgium,E-commerce,2025-05-09,2026-04-25,4,8,4,1,8,4
CUST-0119,Ugo,Richard,ugo.richard11@gmail.com,starter,49,Belgium,Finance,2024-09-11,2026-02-25,63,2,0,0,0,4
CUST-0120,Nina,Girard,nina.girard52@work.com,starter,49,Switzerland,E-commerce,2024-12-05,2026-04-25,4,33,3,0,10,0
CUST-0121,François,Roux,françois.roux98@work.com,starter,49,Germany,Education,2025-01-08,2026-04-24,5,23,5,0,2,1
CUST-0122,Olivier,Petit,olivier.petit32@company.io,free,0,Netherlands,Education,2025-08-18,2026-04-03,26,1,3,0,6,1
CUST-0123,Yasmine,Richard,yasmine.richard59@company.io,starter,49,UK,Education,2024-11-17,2026-04-22,7,4,1,0,8,0
CUST-0124,Bob,Laurent,bob.laurent34@work.com,starter,49,Italy,Education,2024-06-28,2026-04-21,8,2,6,0,,0
CUST-0125,Marc,Bernard,marc.bernard88@gmail.com,starter,49,Spain,E-commerce,2025-10-11,2026-04-15,14,8,2,0,9,3
CUST-0126,Laura,Vincent,laura.vincent5@company.io,enterprise,499,Netherlands,Retail,2024-10-04,2026-04-26,3,35,6,4,,4
CUST-0127,Olivier,Robert,olivier.robert76@work.com,starter,49,Switzerland,Healthcare,2024-11-17,2026-02-28,60,0,3,0,4,3
CUST-0128,Antoine,Martin,antoine.martin4@pro.fr,starter,49,Belgium,Finance,2024-06-08,2026-02-15,73,2,2,0,10,0
CUST-0129,Sophie,David,sophie.david90@gmail.com,free,0,UK,SaaS,2024-07-23,2026-04-23,6,12,3,0,,3
CUST-0130,Karim,Leroy,karim.leroy42@pro.fr,free,0,Italy,Education,2024-05-21,2026-04-22,7,6,2,0,8,1
CUST-0131,Olivier,Andre,olivier.andre72@work.com,starter,49,UK,Healthcare,2024-10-16,2026-04-25,4,33,3,0,4,2
CUST-0132,William,Durand,william.durand51@work.com,pro,149,Spain,Healthcare,2024-12-14,2026-04-25,4,21,1,4,6,0
CUST-0133,Jules,Lambert,jules.lambert72@work.com,free,0,Spain,E-commerce,2025-01-31,2026-04-26,3,15,8,0,,4
CUST-0134,Xavier,Fournier,xavier.fournier13@company.io,free,0,France,Consulting,2026-03-08,2026-04-26,3,6,1,0,7,3
CUST-0135,Ugo,Andre,ugo.andre84@company.io,pro,149,France,Consulting,2024-12-27,2026-04-17,12,6,4,0,1,3
CUST-0136,Céline,Muller,céline.muller39@gmail.com,free,0,Netherlands,Healthcare,2026-03-22,2026-04-22,7,14,4,0,0,3
CUST-0137,Ugo,Morel,ugo.morel59@work.com,starter,49,Spain,SaaS,2025-12-12,2026-04-26,3,10,5,0,,2
CUST-0138,Zoé,Laurent,zoé.laurent86@gmail.com,starter,49,Spain,Consulting,2025-10-13,2026-02-17,71,1,2,0,,3
CUST-0139,Karim,Andre,karim.andre2@work.com,free,0,Netherlands,Finance,2025-08-04,2026-04-25,4,24,4,0,9,0
CUST-0140,Valeria,Petit,valeria.petit29@company.io,starter,49,Spain,Retail,2025-11-16,2026-04-25,4,10,4,0,,1
CUST-0141,Olivier,Fontaine,olivier.fontaine97@gmail.com,enterprise,499,Switzerland,Education,2025-04-11,2026-04-22,7,37,3,0,10,0
CUST-0142,Damien,Fournier,damien.fournier67@pro.fr,free,0,Germany,Finance,2024-10-15,2026-04-13,16,3,1,0,,4
CUST-0143,Paul,Thomas,paul.thomas93@gmail.com,pro,149,Italy,Healthcare,2025-01-27,2026-04-23,6,32,0,4,4,0
CUST-0144,Xavier,Durand,xavier.durand53@company.io,starter,49,Spain,Marketing,2026-03-13,2026-04-29,0,7,7,0,,2
CUST-0145,Céline,Lefebvre,céline.lefebvre69@pro.fr,starter,49,Spain,Finance,2025-04-07,2026-04-27,2,25,1,0,,0
CUST-0146,Yasmine,Martin,yasmine.martin36@company.io,enterprise,499,Germany,SaaS,2025-01-09,2026-04-23,6,17,3,3,,3
CUST-0147,Thomas,Rousseau,thomas.rousseau32@gmail.com,enterprise,499,Italy,Retail,2026-04-12,2026-04-12,17,1,3,0,0,1
CUST-0148,Rachel,Durand,rachel.durand42@company.io,pro,149,Belgium,Consulting,2026-03-02,2026-03-03,57,0,2,0,10,4
CUST-0149,Hugo,Leroy,hugo.leroy83@pro.fr,starter,49,Netherlands,Marketing,2026-02-25,2026-04-27,2,30,8,0,5,3
CUST-0150,Emma,Laurent,emma.laurent53@pro.fr,starter,49,Spain,Marketing,2024-10-25,2026-04-25,4,12,7,0,8,1
CUST-0151,Isabelle,Durand,isabelle.durand49@gmail.com,starter,49,Germany,Finance,2026-02-07,2026-04-28,1,37,3,0,,4
CUST-0152,Xavier,Dupont,xavier.dupont96@pro.fr,starter,49,UK,Finance,2024-12-24,2026-04-25,4,3,3,0,1,3
CUST-0153,Damien,Dubois,damien.dubois64@pro.fr,starter,49,Germany,Retail,2025-07-13,2026-04-24,5,22,4,0,,2
CUST-0154,Damien,Durand,damien.durand71@pro.fr,starter,49,Belgium,Consulting,2025-03-01,2026-03-12,48,2,1,0,,1
CUST-0155,Karim,Dubois,karim.dubois95@pro.fr,starter,49,Switzerland,Consulting,2025-08-20,2026-04-24,5,19,7,0,10,2
CUST-0156,François,Robert,françois.robert86@gmail.com,pro,149,France,Marketing,2024-12-14,2026-01-30,89,2,0,0,1,1
CUST-0157,Antoine,Bonnet,antoine.bonnet80@pro.fr,free,0,Switzerland,SaaS,2024-05-04,2026-03-13,47,2,3,0,,0
CUST-0158,Rachel,Morel,rachel.morel56@company.io,starter,49,Germany,E-commerce,2026-04-11,2026-04-17,12,1,8,0,10,4
CUST-0159,Emma,Dubois,emma.dubois73@company.io,free,0,UK,Healthcare,2024-11-05,2026-04-23,6,8,5,0,7,0
CUST-0160,Ugo,Lefevre,ugo.lefevre2@company.io,starter,49,Germany,Retail,2026-03-27,2026-02-20,68,1,3,0,,3
CUST-0161,Ugo,Vincent,ugo.vincent10@work.com,starter,49,France,Consulting,2026-01-21,2026-04-26,3,16,7,0,,2
CUST-0162,Alice,Durand,alice.durand87@work.com,starter,49,Italy,Consulting,2024-04-29,2026-04-25,4,13,3,0,6,0
CUST-0163,Quentin,Fontaine,quentin.fontaine77@pro.fr,enterprise,499,Netherlands,SaaS,2026-03-05,2026-03-11,49,0,2,0,9,2
CUST-0164,Zoé,Roux,zoé.roux80@work.com,starter,49,UK,E-commerce,2025-04-29,2026-04-27,2,40,6,0,,0
CUST-0165,Isabelle,Robert,isabelle.robert1@work.com,starter,49,Switzerland,Education,2024-07-18,2026-02-19,69,1,2,0,,2
CUST-0166,David,Robert,david.robert71@gmail.com,free,0,Netherlands,Marketing,2025-02-11,2026-04-23,6,9,0,0,,0
CUST-0167,Jules,Leroy,jules.leroy49@company.io,starter,49,Spain,Healthcare,2026-02-01,2026-04-26,3,39,8,0,,2
CUST-0168,Isabelle,David,isabelle.david32@pro.fr,free,0,UK,Retail,2025-11-08,2026-04-22,7,7,5,0,,0
CUST-0169,Emma,Laurent,emma.laurent77@company.io,free,0,Belgium,Education,2025-03-19,2026-04-24,5,31,5,0,10,4
CUST-0170,William,Durand,william.durand36@pro.fr,starter,49,Netherlands,E-commerce,2025-10-29,2026-04-25,4,34,3,0,,4
CUST-0171,Gabriel,Fournier,gabriel.fournier53@pro.fr,enterprise,499,Spain,Healthcare,2025-10-26,2026-04-22,7,16,7,0,1,1
CUST-0172,Isabelle,Dupont,isabelle.dupont70@gmail.com,free,0,Netherlands,E-commerce,2025-02-19,2026-04-12,17,8,3,0,6,0
CUST-0173,Yasmine,Dubois,yasmine.dubois56@gmail.com,pro,149,France,E-commerce,2025-04-30,2026-04-04,25,2,3,0,5,2
CUST-0174,Hugo,Bertrand,hugo.bertrand76@company.io,pro,149,Netherlands,SaaS,2024-10-04,2026-04-22,7,26,6,0,10,3
CUST-0175,David,Laurent,david.laurent27@pro.fr,starter,49,Netherlands,Retail,2026-01-31,2026-03-22,38,1,2,0,,0
CUST-0176,Olivier,Fontaine,olivier.fontaine44@gmail.com,pro,149,Spain,Finance,2025-06-06,2026-04-04,25,2,0,0,,4
CUST-0177,François,Morel,françois.morel51@gmail.com,free,0,UK,Retail,2024-10-02,2026-04-23,6,14,2,0,6,4
CUST-0178,Nina,Lefebvre,nina.lefebvre24@work.com,free,0,Netherlands,Finance,2025-09-21,2026-04-28,1,39,1,0,8,3
CUST-0179,David,Moreau,david.moreau59@company.io,pro,149,Belgium,E-commerce,2024-12-13,2026-04-23,6,28,1,2,,1
CUST-0180,Karim,Petit,karim.petit74@pro.fr,free,0,Italy,Consulting,2025-12-30,2026-03-22,38,2,3,0,2,3
CUST-0181,Ugo,Morel,ugo.morel41@pro.fr,pro,149,France,Education,2024-07-07,2026-04-19,10,8,4,0,,0
CUST-0182,Paul,Robert,paul.robert63@company.io,free,0,Germany,SaaS,2025-03-31,2026-04-22,7,29,7,0,7,1
CUST-0183,Jules,Bernard,jules.bernard15@work.com,free,0,Netherlands,SaaS,2024-10-25,2026-04-22,7,38,8,0,,3
CUST-0184,Rachel,Durand,rachel.durand12@pro.fr,enterprise,499,Germany,Finance,2026-01-14,2026-04-26,3,22,0,3,,1
CUST-0185,Zoé,Fontaine,zoé.fontaine8@work.com,starter,49,Belgium,Consulting,2025-05-04,2026-04-23,6,13,2,0,3,2
CUST-0186,William,Laurent,william.laurent84@company.io,free,0,Spain,Finance,2025-07-29,2026-04-28,1,11,6,0,4,1
CUST-0187,William,Simon,william.simon10@gmail.com,pro,149,Italy,Healthcare,2024-06-05,2026-04-11,18,5,3,0,,2
CUST-0188,Olivier,David,olivier.david51@company.io,starter,49,Italy,Finance,2026-04-26,2026-04-28,1,32,5,0,8,3
CUST-0189,Isabelle,Simon,isabelle.simon81@pro.fr,pro,149,France,E-commerce,2025-05-18,2026-04-14,15,6,0,0,,1
CUST-0190,Olivier,Roux,olivier.roux12@work.com,free,0,Belgium,E-commerce,2025-02-14,2026-04-27,2,22,2,0,4,2
CUST-0191,Valeria,Faure,valeria.faure28@pro.fr,starter,49,Germany,Consulting,2026-03-06,2026-04-26,3,30,1,0,0,4
CUST-0192,Hugo,Bertrand,hugo.bertrand10@company.io,pro,149,Italy,E-commerce,2026-04-19,2026-02-25,63,0,3,0,7,0
CUST-0193,David,Simon,david.simon73@gmail.com,starter,49,Spain,Retail,2025-06-26,2026-03-23,37,2,1,0,,2
CUST-0194,Xavier,Durand,xavier.durand97@gmail.com,starter,49,Italy,Education,2025-11-24,2026-04-22,7,16,1,0,2,3
CUST-0195,Karim,Vincent,karim.vincent39@company.io,free,0,UK,Marketing,2025-07-19,2026-04-12,17,5,0,0,10,2
CUST-0196,Ugo,Bernard,ugo.bernard17@pro.fr,pro,149,Italy,Education,2025-08-26,2026-04-14,15,2,0,0,5,4
CUST-0197,Valeria,Richard,valeria.richard8@pro.fr,pro,149,Belgium,Marketing,2026-02-13,2026-04-01,28,0,2,0,,3
CUST-0198,William,Lefebvre,william.lefebvre20@work.com,free,0,Italy,E-commerce,2024-10-26,2026-04-20,9,5,1,0,3,2
CUST-0199,William,Leroy,william.leroy8@work.com,pro,149,Spain,E-commerce,2025-08-27,2026-03-29,31,1,0,0,9,0
CUST-0200,William,Robert,william.robert94@gmail.com,pro,149,France,Education,2025-11-12,2026-04-25,4,13,5,1,4,3
